Head,Relation,Original Tail,Tail Noun Chunks,Title,Article,Original Article Text
financing,link,union contributions under direct shared and indirect management shall help achieve a union policy objective and the results specified and may take any of the following forms to the costs of the relevant operations based on: the fulfilment of conditions set out in sectorspecific rules or commission decisions or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators reimbursement of eligible costs actually incurred unit costs which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit lump sums which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance    flatrate financing which covers specific categories of eligible costs which are clearly identified in advance by applying a percentage a combination of the forms referred to in points to,"['union contribution', 'direct share indirect management', 'union policy objective', 'result', 'follow form', 'cost', 'relevant operation', 'fulfilment', 'condition', 'sectorspecific rule', 'commission decision', 'ii', 'achievement', 'result', 'reference', 'milestone', 'performance indicator reimbursement', 'eligible cost', 'actually incur unit cost', 'certain specific category', 'eligible cost', 'advance', 'reference', 'unit lump sum', 'global term', 'certain specific category', 'eligible cost', 'advance       flatrate financing', 'specific category', 'eligible cost', 'advance', 'percentage', 'combination', 'form', 'point']",TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
paragraph,shall,in direct and indirect management,['direct indirect management'],TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
union contribution point subparagraph paragraph,establish,in accordance with article 181 or sectorspecific rules and in shared management in accordance with sectorspecific rules,"['accordance', 'article', 'sectorspecific rule', 'share management', 'accordance', 'sectorspecific rule']",TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
potential recipient interest accounting method,determine,the appropriate form of a contribution when,"['appropriate form', 'contribution']",TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
potential recipient interest accounting method,take,into account to the greatest extent possible,"['account', 'great extent']",TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
authorise officer responsible,report,on financing,['financing'],TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
authorise officer responsible,refer,to in article 74(9,['article'],TITLE V COMMON RULES,Article 125  Forms of Union contribution ,"Union contributions under direct, shared and indirect management shall help achieve a Union policy objective and the results specified and may take any of the following forms: (a) financing not linked to the costs of the relevant operations based on: (i) the fulfilment of conditions set out in sector-specific rules or Commission decisions; or (ii) the achievement of results measured by reference to previously set milestones or through performance indicators; (b) reimbursement of eligible costs actually incurred; (c) unit costs, which cover all or certain specific categories of eligible costs which are clearly identified in advance by reference to an amount per unit; (d) lump sums, which cover in global terms all or certain specific categories of eligible costs which are clearly identified in advance;   (e) flat-rate financing, which covers specific categories of eligible costs, which are clearly identified in advance, by applying a percentage; (f) a combination of the forms referred to in points (a) to (e). Union contributions under point (a) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181, sector-specific rules or a Commission decision and, in shared management, in accordance with sector-specific rules. Union contributions under points (c), (d) and (e) of the first subparagraph of this paragraph shall, in direct and indirect management, be established in accordance with Article 181 or sector-specific rules and, in shared management, in accordance with sector-specific rules. When determining the appropriate form of a contribution, the potential recipients’ interests and accounting methods shall be taken into account to the greatest extent possible. The authorising officer responsible shall report on financing not linked to costs pursuant to points (a) and (f) of the first subparagraph of paragraph 1 of this Article in the annual activity report referred to in Article 74(9)."
assessment,make,insofar on the compliance with conditions equivalent to those set out in this regulation for the applicable method of implementation,"['compliance', 'condition', 'regulation', 'applicable method', 'implementation']",TITLE V COMMON RULES,Article 126  Cross-reliance on assessments ,"The Commission may rely in full or in part on assessments made by itself or other entities, including donors, insofar as such assessments were made on the compliance with conditions equivalent to those set out in this Regulation for the applicable method of implementation. To that end, the Commission shall promote the recognition of internationally accepted standards or international best practices."
appropriate sectorspecific rule,provide,that there is sufficient evidence of the independence and competence of the auditor where,"['sufficient evidence', 'independence', 'competence', 'auditor']",TITLE V COMMON RULES,Article 127  Cross-reliance on audits ,"Without prejudice to existing possibilities for carrying out further audits, where an audit based on internationally accepted audit standards providing reasonable assurance has been conducted by an independent auditor on the financial statements and reports setting out the use of a Union contribution, that audit shall form the basis of the overall assurance, as further specified, where appropriate, in sector-specific rules, provided that there is sufficient evidence of the independence and competence of the auditor. To that end, the report of the independent auditor and the related audit documentation shall be made available on request to the European Parliament, the Commission, the Court of Auditors and the audit authorities of Member States."
appropriate sectorspecific rule,be,sufficient evidence of the independence and competence of the auditor,"['sufficient evidence', 'independence', 'competence', 'auditor']",TITLE V COMMON RULES,Article 127  Cross-reliance on audits ,"Without prejudice to existing possibilities for carrying out further audits, where an audit based on internationally accepted audit standards providing reasonable assurance has been conducted by an independent auditor on the financial statements and reports setting out the use of a Union contribution, that audit shall form the basis of the overall assurance, as further specified, where appropriate, in sector-specific rules, provided that there is sufficient evidence of the independence and competence of the auditor. To that end, the report of the independent auditor and the related audit documentation shall be made available on request to the European Parliament, the Commission, the Court of Auditors and the audit authorities of Member States."
