Head,Relation,Tail,Title,Article,Original Tail,Original Article Text
title,apply,direct management,TITLE VIII GRANTS,Article 180  Scope and form of grants ,to grants awarded under direct management,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
operating grant,take,financial contribution,TITLE VIII GRANTS,Article 180  Scope and form of grants ,the form of a financial contribution to the work programme of the body,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
operating grant,refer,point,TITLE VIII GRANTS,Article 180  Scope and form of grants ,to in point of the first subparagraph,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
grant,take,article,TITLE VIII GRANTS,Article 180  Scope and form of grants ,any of the forms provided for in article 125(1,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
grant,take,article,TITLE VIII GRANTS,Article 180  Scope and form of grants ,the form of financing not linked to costs pursuant to point of the first subparagraph of article 125(1 where,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
regard article 181 procedure requirement,refer,article point,TITLE VIII GRANTS,Article 180  Scope and form of grants ,to in paragraphs 2 and 3 of that article points and of the first subparagraph and the second subparagraph of paragraph 4 and paragraph,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
union institution,award,public contract,TITLE VIII GRANTS,Article 180  Scope and form of grants ,public contracts or grants for communication activities,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
grant,award,activity,TITLE VIII GRANTS,Article 180  Scope and form of grants ,where the use of procurement is not appropriate due to the nature of activities,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
use procurement,be,activity,TITLE VIII GRANTS,Article 180  Scope and form of grants ,appropriate where due to the nature of activities,"This Title applies to grants awarded under direct management. Grants may be awarded in order to finance any of the following: (a) an action intended to help achieve a Union policy objective (‘action grants’); (b) the functioning of a body which has an objective forming part of, and supporting, a Union policy (‘operating grants’). Operating grants shall take the form of a financial contribution to the work programme of the body referred to in point (b) of the first subparagraph. Grants may take any of the forms provided for in Article 125(1). Where the grant takes the form of financing not linked to costs pursuant to point (a) of the first subparagraph of Article 125(1): (a) the provisions related to eligibility and verification of costs laid down in this Title, in particular Articles 182, 184 and 185, Article 186(2), (3) and (4), Article 190, Articles 191(3) and 203(4), shall not apply; (b) as regards Article 181, only the procedure and the requirements referred to in paragraphs 2 and 3 of that Article, points (a) and (d) of the first subparagraph and the second subparagraph of paragraph 4, and paragraph 5, of that Article shall apply. Each Union institution may award public contracts or grants for communication activities. Grants may be awarded where the use of procurement is not appropriate due to the nature of activities. The JRC may receive funding charged to appropriations other than research and technological development appropriations in respect of its participation in grant award procedures financed in whole or in part from the budget. In such cases, Article 198(4), as far as financial capacity is concerned, and points (a) to (d) of Article 196(1) shall not apply."
grant,take,lump sum unit cost,TITLE VIII GRANTS,"Article 181  Lump sums, unit costs and flat-rate financing ",the form of lump sums unit costs or flatrate financing where,"Where the grant takes the form of lump sums, unit costs or flat-rate financing as referred to in point (c), (d) or (e) of the first subparagraph of Article 125(1), this Title shall apply, with the exception of the provisions or parts of the provisions related to the verification of eligible costs actually incurred. L 193/118  Where possible and appropriate, lump sums, unit costs or flat rates shall be determined in such a way as to allow their payment upon achievement of concrete outputs and/or results. Unless otherwise provided in the basic act, the use of lump sums, unit costs or flat-rate financing shall be authorised by a decision of the authorising officer responsible, who shall act in accordance with the internal rules of the Union institution concerned. The authorisation decision shall contain at least the following: (a) justification concerning the appropriateness of such forms of financing with regard to the nature of the supported actions or work programmes, as well as to the risks of irregularities and fraud and costs of control; (b) identification of the costs or categories of costs covered by lump sums, unit costs or flat-rate financing, which shall be considered eligible in accordance with points (c), (e) and (f) of Article 186(3) and Article 186(4), and which shall exclude ineligible costs under the applicable Union rules; (c) description of the methods for determining lump sums, unit costs or flat-rate financing. Those methods shall be based on one of the following: (i) statistical data, similar objective means or an expert judgement provided by internally available experts or procured in accordance with the applicable rules; or (ii) beneficiary-by-beneficiary approach, by reference to certified or auditable historical data of the beneficiary or to its usual cost accounting practices; (d) where possible, the essential conditions triggering the payment, including, where applicable, the achievement of outputs and/or results; (e) where lump sums, unit costs and flat rates are not output based and/or result based, a justification on why an output based and/or result based approach is not possible or appropriate. The methods referred to in point (c) of the first subparagraph shall ensure: (a) the respect for the principle of sound financial management, in particular the appropriateness of the respective amounts with regard to the required outputs and/or results taking into account foreseeable revenue to be generated by the actions or work programmes; (b) reasonable compliance with the principles of co-financing and no double funding. The authorisation decision shall apply for the duration of the programme or programmes unless otherwise provided in that decision. The authorisation decision may cover the use of lump sums, unit costs or flat rates applicable to more than one specific funding programme where the nature of the activities or of the expenditure allow for a common approach. In such cases, the authorising decision may be adopted by the following: (a) the authorising officers responsible where all activities concerned fall under their responsibility; (b) the Commission where this is appropriate in view of the nature of the activities or of the expenditure or in view of the number of authorising officers concerned. The authorising officer responsible may authorise or impose, in the form of flat-rates, funding of the beneficiary’s indirect costs up to a maximum of 7 % of total eligible direct costs for the action. A higher flat rate may be authorised by a reasoned Commission decision. The authorising officer responsible shall report in the annual activity report referred to in Article 74(9) on any such decision taken, the flat rate authorised and the reasons leading to that decision. SME owners and other natural persons who do not receive a salary may declare eligible personnel costs for the work carried out by themselves under an action or work programme, on the basis of unit costs authorised in accordance with paragraphs 1 to 6. Beneficiaries may declare personnel costs for the work carried out by volunteers under an action or work programme, on the basis of unit costs authorised in accordance with paragraphs 1 to 6."
