Head,Relation,Tail,Title,Article,Original Tail,Original Article Text
union,establish,financial instrument,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,financial instruments,"Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
union,provide,financial assistance,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,budgetary guarantees or financial assistance backed by the budget by means of a basic act defining the union scope and period of implementation,"Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
member state,contribute,union financial instrument,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,budgetary guarantees or financial assistance to the unions financial instruments,"Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
financial instrument,implement,member state,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,where under shared management with member states sectorspecific rules,"Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
financial instrument budgetary guarantee,implement,indirect management,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,where under indirect management,"Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
system rule procedure entity,assess,article,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,where pursuant to article 154(4,"Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
entity,rely,system rule,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,fully on those systems rules and procedures,"Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
entity,transpose,financial intermediary,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,the requirements in agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the commission,"Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
implementation framework financial instrument,complie,sound financial management,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,with the principle of sound financial management,"Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
implementation framework financial instrument,support,define timebound policy objective,"TITLE X FINANCIAL INSTRUMENTS, BUDGETARY GUARANTEES AND FINANCIAL ASSISTANCE",Article 208  Scope and implementation ,the attainment of defined and timebound policy objectives,"Where it proves to be the most appropriate way to achieve policy objectives of the Union, the Union may establish financial instruments or provide budgetary guarantees or financial assistance backed by the budget by means of a basic act defining their scope and period of implementation. Member States may contribute to the Union’s financial instruments, budgetary guarantees or financial assistance. If authorised by the basic act, third parties may also contribute. Where financial instruments are implemented under shared management with Member States, sector-specific rules shall apply. Where financial instruments or budgetary guarantees are implemented under indirect management, the Commission shall conclude agreements with entities pursuant to points (c)(ii), (iii), (v) and (vi) of the first subparagraph of Article 62(1). Where the systems, rules and procedures of those entities have been assessed pursuant to Article 154(4), they may fully rely on those systems, rules and procedures. Those entities may, when implementing financial instruments and budgetary guarantees under indirect management, conclude agreements with financial intermediaries which shall be selected in accordance with procedures equivalent to those applied by the Commission. Those entities shall transpose the requirements pursuant to Article 155(2) in those agreements. The Commission shall remain responsible for ensuring that the implementation framework for financial instruments complies with the principle of sound financial management and supports the attainment of defined and time-bound policy objectives, measurable in terms of outputs and/or results. The Commission shall be accountable for the imple­mentation of financial instruments without prejudice to the entrusted entities’ legal and contractual responsibility in accordance with the applicable law and Article 129. L 193/132  Where third countries contribute to financial instruments or budgetary guarantees pursuant to paragraph 2, the basic act may allow for the designation of eligible implementing entities or counterparts from the countries concerned. The Court of Auditors shall have full access to any information related to the financial instruments, budgetary guarantees and financial assistance, including by means of on-the-spot checks. The Court of Auditors shall be the external auditor responsible for the projects and programmes supported by a financial instrument, a budgetary guarantee or a financial assistance."
